text,label
weather for five am in Osyka Bhutan,GetWeather
Play cheerful playlist,PlayMusic
Rate Leap into Darkness 1 points,RateBook
Please shoe me the movie schedule for today.,SearchScreeningEvent
show me the schedule of movie The Da Vinci Code,SearchScreeningEvent
make me a reservation at The Restaurant at Meadowood for a party of 7 in Armenia,BookRestaurant
I want to hear something from the top-fifty by Jose Pasillas,PlayMusic
rate this novel a two,RateBook
What will the weather be like 19 minutes from now in Nepal,GetWeather
I'm looking for a movie called Salvage Mice .,SearchCreativeWork
Give this novel four out of 6 stars .,RateBook
find an album called Stumble.Stop.Repeat,SearchCreativeWork
add Adam Yauch to my Spooning,AddToPlaylist
I want to see Dead Calm at the closest cinema,SearchScreeningEvent
search for the game The Last Horror Movie,SearchCreativeWork
What is the nearest movie house playing Black Scorpion,SearchScreeningEvent
Play me a song by Avispa Music from 1965,PlayMusic
I need a table in TN that's not to far for a party of ten,BookRestaurant
play Angelo Amorevoli,PlayMusic
I need a table for 8 during midday in Montana,BookRestaurant
Rate The Art of Struggle 3,RateBook
Will it be snowy here soon,GetWeather
Play the best songs by Jes Brieden,PlayMusic
Add the artist to my Metal playlist.,AddToPlaylist
"I'd like to go to Douglas Theatre Company to see In Beaver Valley , what times will the movie be playing?",SearchScreeningEvent
Is there going to be a depression in my current location on nov. the ninth,GetWeather
Is it chilly in Curacao,GetWeather
Play Brian Clifton off Groove Shark .,PlayMusic
Play a Martyn Bennett from 1957 on Pandora,PlayMusic
Play Johnny Gimble,PlayMusic
When is Barbary Coast playing?,SearchScreeningEvent
I want to give The Garin Death Ray series 1 stars,RateBook
Show me the closest movie house that plays That Night in Rio,SearchScreeningEvent
Find a coffeehouse in Illinois for three,BookRestaurant
add song to marta's endorphin rush playlist,AddToPlaylist
"Will it be snowy on January 26th in Trentwood , Illinois",GetWeather
Add another artist to the Spotlight on Country 2016 playlist.,AddToPlaylist
book a restaurant for cupcakes for ten,BookRestaurant
play Isaac Yamma Slut,PlayMusic
Can I get the movie schedule for the Bow Tie Cinemas .,SearchScreeningEvent
How is the weather going to be in Pearblossom .,GetWeather
Show me movie times for one minute from now,SearchScreeningEvent
book a spot at a crab restaurant,BookRestaurant
Book a restaurant in Geddes on march the twenty-seventh for me and my husband,BookRestaurant
Is it foggy in Phinizy Swamp Nature Park ?,GetWeather
Include the past behind in my Top 100 Rock Tracks on Spotify playlist.,AddToPlaylist
find a cinema nearest with Sulle Sathya,SearchScreeningEvent
"find The Living Room Tapes , a TV series",SearchCreativeWork
Add Famous to my playlist lo que suena new york,AddToPlaylist
I need to find the creative work Prince Hours,SearchCreativeWork
Will it be foggy at sunset in Red Devil,GetWeather
I'd like to book a table at Black Horse Tavern in Georgia at 4 am,BookRestaurant
I give this next essay zero out of 6 points,RateBook
The Last Hawk gets a total of 3 out of 6 stars from me,RateBook
Download The Red Eagle TV show,SearchCreativeWork
Find the schedule for A Kiss Before Dying .,SearchScreeningEvent
Will it hail in 1 minute in Toms River,GetWeather
Is Black & White The Dawn of Justice playing at the movie theatre ?,SearchScreeningEvent
add Diarios de Bicicleta to my la la playlist,AddToPlaylist
give 3 out of 6 points to The Secrets of Love,RateBook
I want to take me and my crew to the smoking room restaurant,BookRestaurant
My Idea of Fun is a book that should get 2 stars .,RateBook
Book a restaurant that serves pasta for 5 people.,BookRestaurant
add tune to my this is animal collective,AddToPlaylist
Use the service Lastfm to play music by the artist ai kago,PlayMusic
How will the weather be in New Mexico around 000907 am ?,GetWeather
Rate the current novel three points,RateBook
Show me the photograph of King Charles,SearchCreativeWork
Please get me a reservation at a restaurant with a pool for manuela and yvonne,BookRestaurant
Add this song onto my playlist entitled chill out .,AddToPlaylist
Which cinema is currently showing The Youngest Profession ?,SearchScreeningEvent
Will it be cloudy by five PM in Gobler Jersey,GetWeather
fimd Glory,SearchCreativeWork
play some latin on Zvooq,PlayMusic
add The Spine Surfs Alone to my playlist called The Funny Thing About Football Is,AddToPlaylist
Play Lukasz Gottwald album on Zvooq,PlayMusic
Tell me the movie schedule for Warren Theatres,SearchScreeningEvent
What's the weather forecast for breakfast time in Palau ?,GetWeather
Please rate the current textbook 2 stars,RateBook
Play the top 5 by Akira The Don .,PlayMusic
Find an album called List of Re Hamatora episodes .,SearchCreativeWork
book a manadonese restaurant for two,BookRestaurant
book a restaurant in Montverde in Marshall Islands,BookRestaurant
what is the weather of Sri Lanka,GetWeather
Tell me the weather forecast for Azerbaijan,GetWeather
shawn lane should be moved to my Cena con Amigos playlist,AddToPlaylist
book in one hour within walking distance of a restaurant downtown,BookRestaurant
"christie, concepcion and I want to eat trattoria at a brasserie in Johnston now",BookRestaurant
I want to listen to the soundtrack The Om Years,SearchCreativeWork
Rate the current book a three,RateBook
Wish to hear a concerto by Diplo from 1952,PlayMusic
Give this essay a 2 out of 6 .,RateBook
I need a table in Iron Gates in one minute at the Weathervane Restaurant,BookRestaurant
Add Driven to Tears to the viral semanal playlist.,AddToPlaylist
Rate The Purcell Papers two out of 6 stars,RateBook
What is the TV show This Is Halloween ?,SearchCreativeWork
Will it rain here at 132209 ?,GetWeather
Include Brandon Paris in The MetalSucks Playlist,AddToPlaylist
what is the Cameia National Park forecast for in one minute and 1 second,GetWeather
play Barry Manilow from the twenties,PlayMusic
I want to give this current saga 6 points and a rating value of 1,RateBook
I feel that zero out of 6 points would be the rating of Queen of the Dawn .,RateBook
rate The Detective a 3 out of 6,RateBook
Find Phalcon .,SearchCreativeWork
Play some showtunes music.,PlayMusic
What films start at eighteen at Caribbean Cinemas,SearchScreeningEvent
add ronnie james dio tune to Women of Electronic selection,AddToPlaylist
What is the weather here at 7 am ?,GetWeather
Show me the movie schedule for Caribbean Cinemas,SearchScreeningEvent
Play Masashi Hamauzu 's newest symphony on Itunes .,PlayMusic
Play some techno on Lastfm,PlayMusic
I need a table for four at a pub in Heard Island and McDonald Islands,BookRestaurant
How will the weather be in six and a half months in CO ?,GetWeather
Use Google Music to play some songs by Dr John,PlayMusic
Find movie times for Alamo Drafthouse Cinema at 1037 P.M. .,SearchScreeningEvent
Show me Then We Came to the End,SearchCreativeWork
Will it be chillier at 060548 in Wagener Réunion,GetWeather
play some gotye,PlayMusic
Get me a picture about Sardonic Wrath,SearchCreativeWork
I want a table for five at a place in Russia on 4/4/2036,BookRestaurant
Please give me the movie schedules .,SearchScreeningEvent
"Can you please look up the TV series , An Experiment with Time ?",SearchCreativeWork
play music from the twenties,PlayMusic
"Is it cold in Breckenridge , Colorado ?",GetWeather
Show the forecast for two years from now in Lake Telemark Sudan,GetWeather
When is Old Enough showing at the movie house ?,SearchScreeningEvent
Can you book a table for eight people at a spa type restaurant within walking distance of the Metropolitan Borough of Lambeth,BookRestaurant
Please play a song for me from 1959,PlayMusic
Add to my playlist house afterwork this tune,AddToPlaylist
I need movie times at Fox Theatres around zero PM,SearchScreeningEvent
Find the movie schedule for the Douglas Theatre Company .,SearchScreeningEvent
Where is the closest cinema that features animated movies,SearchScreeningEvent
"I want to book the distant downtown Tribeca Grill for august the twenty-third, 2025 for wilda and jacklyn",BookRestaurant
add the tune to my jazz vibes playlist,AddToPlaylist
Weather for Douthat State Park on Mar. 10,GetWeather
add tune to my The Southern Highway Chronicles playlist,AddToPlaylist
What's the humidity now in NH ?,GetWeather
Where can I purchase the Twenty Chickens for a Saddle saga ?,SearchCreativeWork
read the book Journal of the Bombay Natural History Society,SearchCreativeWork
book a table for seven during our Thailand trip that is within walking distance of our hotel.,BookRestaurant
when is Hefner Unauthorized showing at Magic Johnson Theatres,SearchScreeningEvent
Put on Vimeo and play Kacapi Suling,PlayMusic
Show me the trailer A Self Made Hero,SearchCreativeWork
Will there be a blizzard in Chapel Point State Park or in the same area,GetWeather
Find a TV series called Dirty Politics .,SearchCreativeWork
restaurant In Zimbabwe that is brasserie and has parking,BookRestaurant
Is The Angelus playing at the movie house at dinner time?,SearchScreeningEvent
What is the weather forecast for Maryland,GetWeather
Where is the closest movie house playing films now,SearchScreeningEvent
Play Entre Raices Y Antenas by Lynn & Wade Llp .,PlayMusic
what is the forecast for 6 am in Aruba,GetWeather
Play music by Sha Money Xl sort by good .,PlayMusic
add 9AM in Dallas to my classical music for smart kids,AddToPlaylist
rate The Lotus and the Storm zero of 6,RateBook
When can I go see The Untold Story ?,SearchScreeningEvent
Will it rain in Deersville,GetWeather
Find the Fields of Sacrifice movie,SearchCreativeWork
Play Elizeth Cardoso to my Nothing But A Party R&B playlist,AddToPlaylist
Make a booking for the highly rated food court in Montenegro .,BookRestaurant
play some eighties by Amirbai Karnataki,PlayMusic
Which films are playing in the neighbourhood ?,SearchScreeningEvent
find the nearest animated movies at a movie theatre,SearchScreeningEvent
play Only Hope by Graham Bonnet,PlayMusic
Turn on Spotify to Tiny Tim ep,PlayMusic
Play Lenny Kaye music.,PlayMusic
I want to book a restaurant in the same area where I live in MA for ebony and yolanda .,BookRestaurant
Find Head Start,SearchCreativeWork
What's the weather forecast for my current position ?,GetWeather
Fine a movie schedule .,SearchScreeningEvent
Add Manuelita la tortuga to my Nuestros 80 playlist,AddToPlaylist
"Coon Chicken Inn restaurant for 1 am for me, clarice and debbie",BookRestaurant
Rate this textbook a 5,RateBook
Add First Issue to my your favorite slaughterhouse playlist,AddToPlaylist
Book a nearby northeast indian restaurant in North Carolina for ten people at six am .,BookRestaurant
Play While The Gate Is Open .,PlayMusic
Please get me the Before Crisis Final Fantasy VII television show .,SearchCreativeWork
What's the weather forecast for Lenexa United Kingdom at 0231,GetWeather
I need to see some movie schedules,SearchScreeningEvent
Table for one somewhere in Palco,BookRestaurant
I need a reservation for ten in Wisconsin,BookRestaurant
Add Ace Hood to the this is aretha franklin playlist.,AddToPlaylist
Can a I get the movie schedule for Sympathy for the Devil,SearchScreeningEvent
Is Warhead playing at AMC Theaters,SearchScreeningEvent
Is Proudly She Marches playing anywhere?,SearchScreeningEvent
I give the Ways of Escape chronicle zero out of 6,RateBook
Find me the movie schedules at Fox Theatres,SearchScreeningEvent
The current album deserves 0 stars,RateBook
I want to hear that track from 1991,PlayMusic
Play a tune by Layne Staley,PlayMusic
Play some movement music by Perez Prado on Iheart,PlayMusic
"Book a table for four in Orchard Grass Hills , NV",BookRestaurant
Play a song by Electric Tones from their Kurutta Taiyō album on Last Fm,PlayMusic
Where to get album Justified,SearchCreativeWork
Will rainfall continue here tomorrow ?,GetWeather
I need to book a restaurant with a smoking room in AL,BookRestaurant
need a table for nine in East Prairie LA,BookRestaurant
Play Russell Morris 's The Singer And The Song on Netflix .,PlayMusic
napoleon xiv should be added to sharlene's playlist transatlantic lullaby,AddToPlaylist
Weather next year in Canada,GetWeather
rate this album 1,RateBook
I need to get seats for me and my ex wife to eat in Egypt .,BookRestaurant
Book me a table at a Tartinery Restaurant not far from my home in Elk Rapids .,BookRestaurant
find movie schedules in Warren Theatres,SearchScreeningEvent
"What will the weather be in Bayside on Sep. 21, 2034 ?",GetWeather
Add a track by BT to my independent music monday playlist.,AddToPlaylist
Is it freezing on Jun. the 21st in Apshawa South Africa,GetWeather
Open Youtube and play Iron Mountain Depot from John Lomax,PlayMusic
Play a track from 1985 .,PlayMusic
Play Praise The Lord And Pass The Ammunition .,PlayMusic
rate the current novel 5 stars,RateBook
Can i get the showtimes for movies around here ?,SearchScreeningEvent
movie schedule for Harkins Theatres,SearchScreeningEvent
What's the weather going to be one hour from now in Taiwan,GetWeather
What is the weather forecast now in Texas ?,GetWeather
"Is it going to be chilly today in Abo , WI",GetWeather
where is The Country Bears playing,SearchScreeningEvent
She me that movie schedule,SearchScreeningEvent
Find the Another Ticket game,SearchCreativeWork
what are the movie schedules ?,SearchScreeningEvent
Play the greatest soundtrack by Jesse Harms .,PlayMusic
show cloud forcast in 1 hour in IA,GetWeather
Play me the greatest Howard Levy song,PlayMusic
five points for this novel,RateBook
put this whole album on the playlist called old school metal,AddToPlaylist
Use Deezer to play music,PlayMusic
reserve a smoking room at the restaurant,BookRestaurant
rate this book four out of 6 points,RateBook
"Is it going to be foggy in Box Elder , Rhode Island",GetWeather
When is The Life and Death of King Richard II playing at Mann Theatres ?,SearchScreeningEvent
book a brasserie for one,BookRestaurant
play James Moody ballad,PlayMusic
Please help me find the video game John Michael Montgomery discography .,SearchCreativeWork
I want to give this current novel 4 points,RateBook
Book a brasserie in the Falkland Islands for this week .,BookRestaurant
show me the movie Haunted Spooks,SearchCreativeWork
Play me Leonid Soybelman on Vimeo .,PlayMusic
Where is the closest cinema playing Good Night Good Morning,SearchScreeningEvent
Is The Matinee Idol 0630 cinema sold out?,SearchScreeningEvent
Is it going to be cloudy in my current spot for dinner ?,GetWeather
Lets go to a bistro in SD,BookRestaurant
Play The Galway Races on Netflix .,PlayMusic
I would rate this album 1 points,RateBook
"Play the track Fight On, State by Yuvan Shankar Raja",PlayMusic
Can you find me the Magic Hour song ?,SearchCreativeWork
I want the Turbonegro album to go on the playlist called Genuine R&B,AddToPlaylist
show creativity of saga Frontier Marshal,SearchCreativeWork
Show me the closest movie house playing animated movies please.,SearchScreeningEvent
give the current album a 1,RateBook
Include Kunnon syy in my Trap Land playlist.,AddToPlaylist
Which animated movies are playing in the neighbourhood and when?,SearchScreeningEvent
I have a party of 7 in East Timor,BookRestaurant
Find Half Cut Tea .,SearchCreativeWork
I want Jean-Georges for a party of 2,BookRestaurant
The Evil Experiment gets zero out of 6 points,RateBook
rate The Fairy Caravan 5 of 6 stars,RateBook
Add this artist to my feel good dinner playlist,AddToPlaylist
Find a picture called Ready .,SearchCreativeWork
How much rainfall is there faraway from Douglass ?,GetWeather
I am looking for the TV show called the Flight of the Lost Balloon,SearchCreativeWork
"play Isaac Hayes on Pandora from love, sweat and beer ep",PlayMusic
Add christopher lawrence to my Always Pop Punk playlist.,AddToPlaylist
Rate Decoding Reality 0 points,RateBook
Add song to my underground hits,AddToPlaylist
give me the local movie times,SearchScreeningEvent
add this album to my playlist titled underground hits,AddToPlaylist
Will it be warmer in five years in Slemp Kansas,GetWeather
Find a movie schedule .,SearchScreeningEvent
can i get the movie schedule for Goodrich Quality Theaters,SearchScreeningEvent
Play some 1962 theme music.,PlayMusic
"find the nearest movie house showing Good Morning, Babylon",SearchScreeningEvent
Can I get the newest listings for movies at Harkins Theatres,SearchScreeningEvent
can I get the movie schedules for Goodrich Quality Theaters,SearchScreeningEvent
I want seating for five near the pool at the pub,BookRestaurant
When is Percy Jackson playing at the movie theatre ?,SearchScreeningEvent
Give After Having Spent a Night Among Horses 0 out of 6 .,RateBook
Find a television show called Twisted .,SearchCreativeWork
Play Igor Nikolayev music from the fourties,PlayMusic
Can you make reservations for 1 person in IL,BookRestaurant
book a restaurant for 4 by shawn's work close by,BookRestaurant
move Josiah Leming to te quiero list,AddToPlaylist
Search for Teenage Mutant Hero Turtles Fall of the Foot Clan photograph,SearchCreativeWork
Can i have the forecast for Bear Rocks Lake Wildlife Management Area,GetWeather
Find the album titled Spasmolytic,SearchCreativeWork
book a restaurant for six in MP,BookRestaurant
Play any track by Flame,PlayMusic
What movies are currently at Star Theatres ?,SearchScreeningEvent
I'd like to see the show Onion SportsDome,SearchCreativeWork
show me animated movies with movie times close by,SearchScreeningEvent
Show Olympia 81 saga,SearchCreativeWork
In Bon Secour National Wildlife Refuge at twelve pm will it be chilly,GetWeather
Book a table for one at the Bear Hotel in Peru,BookRestaurant
Find the video game High Hopes & Heartbreak,SearchCreativeWork
Add this track to the classical music for smart kids playlist,AddToPlaylist
Get me a table for 3 within walking distance from my hotel in Tajikistan .,BookRestaurant
Let me listen to Rouhollah Khaleghi on deezer .,PlayMusic
She me movie schedules for the movies close by at sunset,SearchScreeningEvent
Find me The River of Love saga,SearchCreativeWork
Tell me the weather forecast for Murone Kōgen Prefectural Natural Park at elevenses,GetWeather
find a television show called Tiny Dancer,SearchCreativeWork
I'm looking to book a table at a gastropub that serves vegetarian for me and my team,BookRestaurant
What will the humidity be in AR in 49 weeks and a half from now,GetWeather
I want to give Think Like a Freak one stars,RateBook
Add another album to my this is pavarotti playlist.,AddToPlaylist
find the Deathsmiles II soundtrack,SearchCreativeWork
I'd like to see the novel An Inquiry into the Good,SearchCreativeWork
I'd like seats for one at a restaurant in 1 hour at a place in La Madera that has parking,BookRestaurant
Play the symphony by Tetsuya Ogawa from 1953,PlayMusic
Please let me know the weather forcast of Stanislaus National Forest far in nine months,GetWeather
"Will it storm in Texola , Delaware",GetWeather
I am giving Finding Chandra a 2 out of 6 rating,RateBook
Listen to Dragon Ball Music Collection,SearchCreativeWork
Find me the photograph The Late Music,SearchCreativeWork
what is the 7 day for Cheat Canyon Wildlife Management Area,GetWeather
What time is The Glass Key playing at Caribbean Cinemas,SearchScreeningEvent
Find the movies and movie times in the neighbourhood,SearchScreeningEvent
Add Ultimatum to my crash course playlist,AddToPlaylist
Can you please find The Notebook of Trigorin game ?,SearchCreativeWork
Add the Keep Your Receipt EP to my Digster Reggae playlist.,AddToPlaylist
Play Pride Of The Prairie from Johnny Burke,PlayMusic
Go to Attack of the Planet Smashers,SearchCreativeWork
book a spot at a Crown Burgers that is close by West Compton,BookRestaurant
I want a list of showings of Days of Fire at Harkins Theatres,SearchScreeningEvent
Get me the Trick or Treats soundtrack .,SearchCreativeWork
Find Pursuit of Radical Rhapsody,SearchCreativeWork
add Yoshiki to the 35 Soul Classics 1970 to 1975 playlist,AddToPlaylist
Give Twas the Night Before Christmas 0 points out of 6 .,RateBook
give this essay 4 points,RateBook
Look up The Cool Cafe Cool Tape Vol. 1 video game,SearchCreativeWork
Add Steve Jones to my chill list,AddToPlaylist
What time is High Spirits playing?,SearchScreeningEvent
I want to listen to Merrily We Roll Along by Marko Desantis .,PlayMusic
Play the last sound track by Soko from around 1975,PlayMusic
